TokenID,t_o,FullText,Target,t_surf,DtExp,DtRes,DtUniv,DtDTAM,TLTS,TLAspPfv,TLMdIrr,ClNegPol,ClIntgv,ClCntfcl,VcPass,ASTrns,ASUnrg,ASUncc,AktState,AktAct,AktAcc,AktAch,AktSemel,metadata
40019028,1,"Jesus replied : » Truly I say to you , when all things are made new , and the Son of man is seated in his glory , you who have come after me will be seated on twelve seats , judging the twelve tribes of Israel .",have come,have come,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,"Textual note: come after in this context conveys follow (a teacher, etc.), rather than a motion/change of location event"
40020007,1,» They said : ‘ No man has given us work . ’ ’ He told them to go work with the rest in the vineyard .,has given work,has given,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,
40021016,1,"» Have you any idea what these people are saying ? « Jesus answered : » Yes . It is written , ‘ From the lips of children and babies at the breast you have made your praise complete . ’ «",have made (your praise complete),have made,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,
40022004,1,"» Again he sent out other servants with orders to say to the guests , ‘ I have prepared my feast . Oxen and fat livestock are butchered and everything is ready , so come to the feast . ’",have prepared,have prepared,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,
40022034,1,The Pharisees assembled together when they heard that he had put the Sadducees to silence .,had put to silence,had put,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,
40024043c,1,"» Know this , if the master of the house had known what time the thief was coming , he would have watched and his house would not have been vandalized .",would not have been vandalized,would not have been vandalized,0,0,0,0,1,1,1,1,0,1,1,1,0,0,0,0,0,1,0,Underspecified Dt (irrealis)
40025027b,1,» ‘ You should have put my money in the bank . I should have received my money back plus interest .,should have received,should have received,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,1,0,Underspecified Dt (irrealis)
40026009,1,» This ointment could have been sold for much and the money given to the poor . «,could have been sold,could have been sold,0,0,0,0,1,1,1,0,0,1,1,1,0,0,0,0,0,1,0,"split token; Underspecified Dt (irrealis)
DEU: konj2, haben, koennen, prat"
40026065,1,Then the high priest ripped his robes apart and said : » He has said evil against God ! Why do we need more witnesses ? You have heard his words of blasphemy ! «,have heard,have heard,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,
40027023,1,» What evil has he done ? « Pilate asked . But they shouted : » Impale him ! «,have done evil,has he done,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,
40027046,1,"About the ninth hour Jesus cried with a loud voice , » Eli , Eli , lama sabachthani ? « Which translated means : » My God , my God , why have you forsaken me ? «",have foresaken,have you forsaken,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,
40028007b,1,"» Go quickly and tell his disciples he has risen from the dead . See , he goes before you to Galilee . You will see him there , as I have told you . «",have told,have told,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,
41001015,1,Jesus said : » The time has come . The kingdom of God is at hand . Repent and believe the good news . «,has come,has come,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,
41002012,1,"He got up , took the bed and went out before them all . They were all filled with wonder . They gave glory to God and said we have never seen anything like this .",have never seen,have never seen,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,
41004015b,1,» These are they by the wayside where the word is sown . When they have heard ; Satan comes and takes away the word that has been sown in them .,has been sown,has been sown,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,
41004029,1,"» When the grain is ready he immediately sends men to cut it , because the time for cutting has come . «",has come,has come,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,
41005015,1,When they came to Jesus they saw the man who had been demon possessed . He was fully clothed and in full use of his senses . So they were afraid .,had been (demon) possessed,had been demon possessed,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,
41006014a,1,John the Baptist had become well known . King Herod heard that John had risen from the dead . Therefore he was doing these powerful works .,had become well known,had become well known,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,
41006052,1,They had not understood the loaves of bread . Their minds were closed .,had not understood,had not understood,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,
41009009a,1,They came down the mountain . He warned them not to tell anyone what they had seen until after the Son of man had risen from the dead .,had seen,had seen,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,
41009034,1,They said nothing because they had had an argument between themselves about who was the greatest .,had had an argument,had had an argument,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,
41010028a,1,Peter said to him : » We have left all and followed you . «,have left,have left,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,
41010029,1,"Jesus said : » Truly I tell you , a man that has left house , or brothers , or sisters , or mother , or father , or children , or lands , for my sake , and for the sake of the good news ,",has left (house),has left,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,
41012010,1,» Have you not read this Scripture : ‘ The stone the builders rejected was made the chief corner stone . ’,have not read,Have you not read,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,
41014005a,1,» This ointment might have been sold for more than three hundred denarii . And the money could have been given to the poor . They scolded her . «,might have been sold,might have been sold,0,0,0,0,1,1,1,0,0,1,1,1,0,0,0,0,0,1,0,
41014009,1,"» Truly I tell you everywhere the good news is preached through out the whole world , that which this woman has done will be spoken of for a memorial of her . «",has done,has done,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,
41014064,1,We have heard his words against God . What is your opinion ? They all said he should be put to death .,have heard,have heard,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,Ambiguous: EXP and RES (see P2 notes)
41015046,1,"He bought a linen cloth , and taking him down , wound him in the linen cloth . Then he laid him in a tomb that had been cut out of a rock . He rolled a stone against the door of the tomb .",had been cut,had been cut,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,
41016006a,1,"He said to them : » Do not be amazed . Jesus the Nazarene , who has been impaled , is not here . He has risen . Behold , the place where they laid him !",has been impaled,has been impaled,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,
41016014a,1,"Afterward he was revealed to the eleven as they sat at the table . He rebuked them for their unbelief and hardness of heart , because they did not believe those who had seen him after he had risen .",had seen,had seen,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,"DTAM: ""...after he had risen"""
42001001a,1,Many have attempted to write an orderly narrative about the things that have taken place .,have attempted,have attempted,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,
42001003,1,Most excellent Theophilus Greek : Theo philos : friend of God : I have accurately traced the course of all things from the beginning . Now it seems good to me to write this report to you .,have (accurately) traced,have accurately traced,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,
42001025,1,She said : » This is the way God has dealt with me by taking away my reproach among men . «,has dealt with,has dealt with,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,
42001036,1,» Your relative Elisabeth has also conceived a son even in her old age . This so-called barren woman is in her sixth month .,has conceived,has also conceived,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,
42001049,1,» He that is mighty has done great things to me . Holy is his name .,has done great things,has done,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,
42002017,1,As soon as they saw it they told what they had heard about the child .,had heard,had heard,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,"DTAM: ""as soon as..."""
42002030,1,» My eyes have seen your salvation .,have seen,have seen,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,
42002039,1,"When they had accomplished all things that were according to the law of God they returned to Galilee , to their own city Nazareth .",had accomplished (all things),had accomplished,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,
42004013,1,When the devil had completed every temptation he departed from him for a season .,had completed (every temptation),had completed,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,
42004035,1,"Jesus rebuked him , saying : » Be quiet and come out of him . « When the demon had thrown him down in front of them , he came out of him without harming him .",had thrown (him) down,had thrown him down,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,
42005026,1,Everyone was amazed and they glorified God . They were filled with fear . They said : » We have seen strange things today . «,have seen,have seen,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,
42007016d,1,They were all afraid and they praised God . They said : » A great prophet has appeared among us . God has visited inspected selected his people . «,[has] selected,selected,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,
42007045,1,» You did not kiss me . Since the time I came in she has not ceased kissing my feet .,has not ceased kissing,has not ceased,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,
42008002b,1,"Traveling with him were the women who had been healed of evil spirits and infirmities . This included Mary Magdalene , from whom seven demons had gone out .",had gone out,had gone out,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,
42008039a,1,» Return to your house and declare the great things God has done for you . « He went throughout the whole city telling the great things Jesus had done for him .,(God) has done (for you),has done,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,
42008056,1,Her parents were amazed . He charged them to tell no man what had been done .,had been done,had been done,0,1,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,1,0,
42009008b,1,Others said that Elijah had appeared and others and that one of the old prophets had risen again .,had risen,had risen,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,
42010013b,1,"» Woe to you Chorazin ! Woe to you Bethsaida ! If the mighty works had been done in Tyre and Sidon , which were done in you , they would have repented long ago , sitting in sackcloth and ashes .",would have repented,would have repented,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,1,0,
42010042,1,» However one thing is needed . Mary has chosen the proper way and it shall not be taken away from her . «,has chosen,has chosen,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,
42011042,1,"» Woe to you Pharisees ! You tithe mint and rue and every herb , and pass over justice and the love of God . You should have done these but you leave them undone .",should have done (these),should have done,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,1,0,0,
42012039b,1,"» Know this , that if the master of the house had known in what hour the thief was coming he would have watched . He would not have allowed his house to be broken into .",would have watched,would have watched,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,1,0,0,0,
42013007a,1,"» So he told his gardener , I have been coming here looking for figs on this tree for three years . I have not found any . So cut it down ! Why should it continue using the soil ?",have been coming here,have been coming,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,
42013007c,1,"» So he told his gardener , I have been coming here looking for figs on this tree for three years . I have not found any . So cut it down ! Why should it continue using the soil ?",have not found,have not found,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,
42015021,1,"» Father , the son said : ‘ I have sinned against God and against you . I am not fit to be called your son . ’",have sinned,have sinned,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,
42015029a,1,» He spoke to his father in anger . All these years I have worked like a slave for you . I have never disobeyed you . What have you given me ? Not even a goat for me to have a feast with my friends !,have worked,have worked,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,
42015029c,1,» He spoke to his father in anger . All these years I have worked like a slave for you . I have never disobeyed you . What have you given me ? Not even a goat for me to have a feast with my friends !,have given,have you given,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,
42017010b,1,"The same applies to you . When you have done all you have been told to do , you say , we are unworthy servants . We have done what we ought to have done . «",have been told to do,have been told,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,
42017019,1,He said : » Arise and go your way . Your faith has made you whole . «,has made (you) whole,has made you whole,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,
42018028,1,Peter said : » Indeed we have left our own to follow you . «,have left,have left,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,
42019015,1,» He received the kingdom and went back to check on his servants . He wanted to know what they had gained by trading with the money he gave them .,had gained,had gained,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,
42019030,1,"He told them , » Go into the nearby village . You will find a colt tied . No man has ever sat on him . Untie him and bring him to me .",has sat,has ever sat,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,
42019046,1,He said : » It is written my house shall be a house of prayer . You have made it a den of robbers . «,have made it (a den of robbers),have made it,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,
42022028,1,» You have continued with me in my temptations .,have continued (in my temptations),have continued,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,
42023008,1,Herod was very happy to see Jesus . He had wanted to see him for a long time . He hoped to see him perform a miracle .,had wanted,had wanted,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,
42023015,1,» Herod found no fault and sent him back to us . He has done nothing worthy of death .,has done nothing,has done,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,
42024004,1,They were perplexed about what had happened . Two men stood by them in dazzling apparel .,had happened,had happened,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,
42024023,1,"» They did not find his body . They said that they had also seen a vision of angels , who said that he was alive .",had seen (a vision),had also seen,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,
42024030,1,When he had sat down with them to eat he took the bread and blessed ; and breaking it he gave to them .,had sat down,had sat,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,
43001041,1,He found his brother Simon first . He said to him : » We have found the Messiah Christ . «,have found,have found,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,
43002010a,1,He said to him : » Every man sets out the good wine first . When the men have drunk freely the lower quality wine is served . You have kept the good wine until now . «,have drunk,have drunk,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,
43003011,1,» This is the truth . We speak what we know and witness about what we have seen . But you do not receive our testimony .,have seen,have seen,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,
43003024,1,John had not yet been thrown into prison .,had not been thrown (into prison),had not yet been thrown,1,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,1,0,
43003032b,1,"» He testifies about what he has seen and heard , but no man accepts his testimony .",[have] heard,heard,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,
43003035,1,» The Father loves the Son and has given all things into his hand .,has given,has given,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,
43004039,1,Many Samaritans of that city put faith believed in him because of what the woman said : » He told me everything I have ever done . «,have done,have ever done,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,
