TokenID,Lang,Target,Text,ENGGram
40005027,ENG,have heard,"» You have heard it was said , ‘ You should not commit adultery . ’","present, participle"
40005027,DEU,,"Ihr habt gehört , dass gesagt ist : "" Du sollst nicht ehebrechen . """,
40005027,CMN,,“你们听过有这样的吩咐 ： ‘不可奸淫。’,
40005027,JPN,,『姦淫するな』と言われていたことは、あなたがたの聞いているところである。,
40005038,ENG,have heard,"» You have heard it said , an eye for an eye and a tooth for a tooth .","participle, present"
40005038,DEU,,"Ihr habt gehört , dass gesagt ist : "" Auge um Auge und Zahn um Zahn . """,
40005038,CMN,,“你们听过有这样的吩咐 ： ‘以眼还眼 ， 以牙还牙。’,
40005038,JPN,,『目には目を、歯には歯を』と言われていたことは、あなたがたの聞いているところである。,
40005043,ENG,have heard,"» You have heard it said , ‘ You should love your neighbor and hate your enemy . ’","present, participle"
40005043,DEU,,"Ihr habt gehört , dass gesagt ist : "" Du sollst deinen Nächsten lieben "" und deinen Feind hassen .",
40005043,CMN,,“你们听过有这样的吩咐 ： ‘当爱你的邻舍 ， 恨你的仇敌。’,
40005043,JPN,,『隣り人を愛し、敵を憎め』と言われていたことは、あなたがたの聞いているところである。,
40006002,ENG,have been paid,"» Do not loudly announce it when you give to the poor . The hypocrites do this in the houses of worship and on the streets . They do this to be praised by men . Believe me , they have already been paid in full .","present, participle"
40006002,DEU,,"Wenn du nun Almosen gibst , so lass nicht vor dir her posaunen , wie die Heuchler tun in den Synagogen und auf den Gassen , damit sie von den Leuten gepriesen werden . Wahrlich , ich sage euch : Sie haben ihren Lohn dahin .",
40006002,CMN,,因此你施舍的时候 ， 不可到处张扬 ， 好像伪君子在会堂和街上所作的 一 样 ， 以博取众人的称赞。我实在告诉你们 ， 他们已经得了他们的赏赐。,
40006002,JPN,,だから、施しをする時には、偽善者たちが人にほめられるため会堂や町の中でするように、自分の前でラッパを吹きならすな。よく言っておくが、彼らはその報いを受けてしまっている。,
40006005,ENG,have been paid,» Do not pray like the hypocrites ! They want everyone to see them in the houses of worship and on the street corners . I assure you they have been paid in full .,"present, participle"
40006005,DEU,,"UND wenn ihr betet , sollt ihr nicht sein wie die Heuchler ; denn sie beten gern in den Synagogen und wenn sie an den Ecken der Strassen stehen , um sich vor den Leuten sehen zu lassen . Wahrlich , ich sage euch : Sie haben ihren Lohn dahin .",
40006005,CMN,,“你们祈祷的时候 ， 不可像伪君子 ； 他们喜欢在会堂和路口站着祈祷 ， 好让人看见。我实在告诉你们 ， 他们已经得了他们的赏赐。,
40006005,JPN,,また祈る時には、偽善者たちのようにするな。彼らは人に見せようとして、会堂や大通りのつじに立って祈ることを好む。よく言っておくが、彼らはその報いを受けてしまっている。,
40006016,ENG,have received,"» When you abstain from food , do not be like the hypocrites , with sad faces to be seen by men . They have received their reward .","present, participle"
40006016,DEU,,"WENN ihr aber fastet , sollt ihr nicht finster dreinsehen wie die Heuchler ; denn sie verstellen ihr Angesicht , um sich mit ihrem Fasten vor den Leuten sehen zu lassen . Wahrlich , ich sage euch : Sie haben ihren Lohn dahin .",
40006016,CMN,,“你们禁食的时候 ， 不可像伪君子那样愁眉苦脸 ， 他们装成难看的样子 ， 叫人看出他们在禁食。我实在告诉你们 ， 他们已经得了他们的赏赐。,
40006016,JPN,,また断食をする時には、偽善者がするように、陰気な顔つきをするな。彼らは断食をしていることを人に見せようとして、自分の顔を見苦しくするのである。よく言っておくが、彼らはその報いを受けてしまっている。,
40007028,ENG,had finished,"When Jesus had finished these words , the crowds were astonished at what he taught .","past, participle"
40007028,DEU,,"Und es geschah , als Jesus diese Reden beendet hatte , erstaunte die Volksmenge über seine Lehre ;",
40007028,CMN,,耶稣讲完了这些话 ， 群众都惊奇他的教训。,
40007028,JPN,,イエスがこれらの言を語り終えられると、群衆はその教にひどく驚いた。,
40008010,ENG,have not found,"When Jesus heard it , he was amazed , and said to the crowd : » I tell you , I have not found such great faith in Israel .","present, participle"
40008010,DEU,,"Als Jesus das hörte , verwunderte er sich und sprach zu denen , die ihm nachfolgten : Wahrlich , ich sage euch : Bei keinem in Israel habe ich so grossen Glauben gefunden .",
40008010,CMN,,耶稣听了 ， 就很惊奇 ， 对跟随的人说 ： “我实在告诉你们 ， 这样的信心 ， 我在以色列中从来没有见过。,
40008010,JPN,,イエスはこれを聞いて非常に感心され、ついてきた人々に言われた、「よく聞きなさい。イスラエル人の中にも、これほどの信仰を見たことがない。,
40008029,ENG,have you come,"They screamed at him , saying : » What have we to do with you , Son of God ? Have you come to torment us before the time ? «","present, participle"
40008029,DEU,,"Und siehe , sie erhoben ein Geschrei und sagten : Was haben wir mit dir zu schaffen , du Sohn Gottes ? Bist du hierher gekommen , um uns vor der Zeit zu peinigen ?",
40008029,CMN,,他们喊叫 ： “ 神的儿子 ， 我们跟你有什么关系呢？时候还没有到 ， 你就来这里叫我们受苦吗？”,
40008029,JPN,,すると突然、彼らは叫んで言った、「神の子よ、あなたはわたしどもとなんの係わりがあるのです。まだその時ではないのに、ここにきて、わたしどもを苦しめるのですか」。,
40009008,ENG,had given,"But when the people saw it , they marveled , and glorified God who had given such authority to men .","past, participle"
40009008,DEU,,"Als es aber die Volksmenge sah , erschrak sie und pries Gott , der solche Macht den Menschen gegeben habe .",
40009008,CMN,,群众看见 ， 就起了敬畏的心 ， 颂赞那把这样的权柄赐给人的 神。,
40009008,JPN,,群衆はそれを見て恐れ、こんな大きな権威を人にお与えになった神をあがめた。,
40009016,ENG,has not been shrunk,» Why patch an old garment with cloth that has not been shrunk ? The patch shrinks and pulls away from the old cloth leaving a big hole .,"present, participle"
40009016,DEU,,"Niemand setzt aber ein Stück ungewalktes Tuch auf ein altes Kleid ; denn von dem Kleide reisst sein Flickstück ( einen Teil ) ab , und der Riss wird schlimmer .",
40009016,CMN,,没有人会拿 一 块新布补在旧衣服上 ， 因为补上的会把衣服扯破 ， 裂的地方就更大了。,
40009016,JPN,,だれも、真新しい布ぎれで、古い着物につぎを当てはしない。そのつぎきれは着物を引き破り、そして、破れがもっとひどくなるから。,
40009022,ENG,has made you well,"Jesus turned to see her and said : » Daughter , take courage ; your faith has made you well . « The woman was healed at that time .","present, participle"
40009022,DEU,,"Jesus aber wandte sich um , sah sie und sprach : Sei getrost , meine Tochter ; dein Glaube hat dich gerettet . Und die Frau war von jener Stunde an gesund .",
40009022,CMN,,耶稣转过来看见她 ， 就说 ： “女儿 ， 放心 ！ 你的信心使你痊愈了。”从那时起 ， 那女人就好了。,
40009022,JPN,,イエスは振り向いて、この女を見て言われた、「娘よ、しっかりしなさい。あなたの信仰があなたを救ったのです」。するとこの女はその時に、いやされた。,
40009033,ENG,have never seen,"When the demon was cast out , the dumb man spoke . The crowd marveled , saying : » We have never seen anything like this in Israel ! «","present, participle"
40009033,DEU,,"Und nachdem der Dämon ausgetrieben war , redete der Stumme . Und die Volksmenge verwunderte sich und sagte : Noch nie ist solches in Israel gesehen worden .",
40009033,CMN,,耶稣把鬼赶走之后 ， 哑巴就说话了。众人都很惊奇 ， 说 ： “这样的事 ， 在以色列从来没有见过。”,
40009033,JPN,,すると、悪霊は追い出されて、おしが物を言うようになった。群衆は驚いて、「このようなことがイスラエルの中で見られたことは、これまで一度もなかった」と言った。,
40010023,ENG,have gone through,"» When they persecute you in this city , flee to the next . I tell you ; before you have gone through all the cities of Israel the Son of man will come .","present, participle"
40010023,DEU,,"Wenn sie euch aber verfolgen in dieser Stadt , so fliehet in die andre ! Denn wahrlich , ich sage euch : Ihr werdet mit den Städten Israels nicht zu Ende kommen , bis der Sohn des Menschen kommt .",
40010023,CMN,,如果有人在这城迫害你们 ， 就逃到别的城去。我实在告诉你们 ， 你们还没有走遍以色列的各城 ， 人子就来到了。,
40010023,JPN,,一つの町で迫害されたなら、他の町へ逃げなさい。よく言っておく。あなたがたがイスラエルの町々を回り終らないうちに、人の子は来るであろう。,
40011012a,ENG,has been,"» From the days of John the Baptist until now , the kingdom of heaven has been man’s goal , and men of violence have attempted to take it by force .","present, participle"
40011012a,DEU,,"Aber von den Tagen Johannes des Täufers an bis jetzt wird das Reich der Himmel mit Gewalt erstrebt , und gewaltsam Ringende reissen es an sich .",
40011012a,CMN,,从施洗的约翰的时候直到现在 ， 天国不断遭受猛烈的攻击 ， 强暴的人企图把它夺去。,
40011012a,JPN,,バプテスマのヨハネの時から今に至るまで、天国は激しく襲われている。そして激しく襲う者たちがそれを奪い取っている。,
40011012b,ENG,have attempted,"» From the days of John the Baptist until now , the kingdom of heaven has been man’s goal , and men of violence have attempted to take it by force .","present, participle"
40011012b,DEU,,"Aber von den Tagen Johannes des Täufers an bis jetzt wird das Reich der Himmel mit Gewalt erstrebt , und gewaltsam Ringende reissen es an sich .",
40011012b,CMN,,从施洗的约翰的时候直到现在 ， 天国不断遭受猛烈的攻击 ， 强暴的人企图把它夺去。,
40011012b,JPN,,バプテスマのヨハネの時から今に至るまで、天国は激しく襲われている。そして激しく襲う者たちがそれを奪い取っている。,
40011021a,ENG,had been done,"» Woe to you , Chorazin ! Woe to you , Bethsaida ! If the mighty works had been done in Tyre and Sidon that were done in you , they would have repented long ago in sackcloth and ashes .","past, participle"
40011021a,DEU,,"Wehe dir , Chorazin ! wehe dir , Bethsaida ! Denn wenn in Tyrus und Sidon die machtvollen Taten geschehen wären , die bei euch geschehen sind , so hätten sie längst in Sack und Asche Busse getan .",
40011021a,CMN,,“哥拉逊啊 ， 你有祸了 ！ 伯赛大啊 ， 你有祸了 ！ 在你们那里行过的神迹 ， 如果行在推罗和西顿 ， 它们早已披麻蒙灰悔改了。,
40011021a,JPN,,「わざわいだ、コラジンよ。わざわいだ、ベツサイダよ。おまえたちのうちでなされた力あるわざが、もしツロとシドンでなされたなら、彼らはとうの昔に、荒布をまとい灰をかぶって、悔い改めたであろう。,
40011021b,ENG,would have repented,"» Woe to you , Chorazin ! Woe to you , Bethsaida ! If the mighty works had been done in Tyre and Sidon that were done in you , they would have repented long ago in sackcloth and ashes .","would, participle"
40011021b,DEU,,"Wehe dir , Chorazin ! wehe dir , Bethsaida ! Denn wenn in Tyrus und Sidon die machtvollen Taten geschehen wären , die bei euch geschehen sind , so hätten sie längst in Sack und Asche Busse getan .",
40011021b,CMN,,“哥拉逊啊 ， 你有祸了 ！ 伯赛大啊 ， 你有祸了 ！ 在你们那里行过的神迹 ， 如果行在推罗和西顿 ， 它们早已披麻蒙灰悔改了。,
40011021b,JPN,,「わざわいだ、コラジンよ。わざわいだ、ベツサイダよ。おまえたちのうちでなされた力あるわざが、もしツロとシドンでなされたなら、彼らはとうの昔に、荒布をまとい灰をかぶって、悔い改めたであろう。,
40011023a,ENG,had been done,"» Will you , Capernaum , be exalted into heaven ? You will go down into the grave . If the mighty works had been done in Sodom , which were done in you , it would have remained until this day .","past, participle"
40011023a,DEU,,"Und du , Kapernaum , wirst du "" bis zum Himmel erhoben werden ? Bis zum Totenreich wirst du hinabfahren . "" Denn wenn in Sodom die machtvollen Taten geschehen wären , die bei dir geschehen sind , stände es noch heute .",
40011023a,CMN,,迦百农啊 ！ 你会被高举到天上吗？你必降到阴间。在你那里行过的神迹 ， 如果行在所多玛 ， 那城还会存留到今天。,
40011023a,JPN,,ああ、カペナウムよ、おまえは天にまで上げられようとでもいうのか。黄泉にまで落されるであろう。おまえの中でなされた力あるわざが、もしソドムでなされたなら、その町は今日までも残っていたであろう。,
40011023b,ENG,would have remained,"» Will you , Capernaum , be exalted into heaven ? You will go down into the grave . If the mighty works had been done in Sodom , which were done in you , it would have remained until this day .","would, participle"
40011023b,DEU,,"Und du , Kapernaum , wirst du "" bis zum Himmel erhoben werden ? Bis zum Totenreich wirst du hinabfahren . "" Denn wenn in Sodom die machtvollen Taten geschehen wären , die bei dir geschehen sind , stände es noch heute .",
40011023b,CMN,,迦百农啊 ！ 你会被高举到天上吗？你必降到阴间。在你那里行过的神迹 ， 如果行在所多玛 ， 那城还会存留到今天。,
40011023b,JPN,,ああ、カペナウムよ、おまえは天にまで上げられようとでもいうのか。黄泉にまで落されるであろう。おまえの中でなされた力あるわざが、もしソドムでなされたなら、その町は今日までも残っていたであろう。,
40011025a,ENG,have hidden,"Then Jesus prayed : » I thank you , O Father , Lord of heaven and earth . You have hidden these things from the wise and understanding , and have revealed them to children .","present, participle"
40011025a,DEU,,"ZU jener Zeit begann Jesus und sprach : Ich preise dich , Vater , Herr des Himmels und der Erde , dass du dies vor Weisen und Verständigen verborgen und es Unmündigen geoffenbart hast .",
40011025a,CMN,,就在那时候 ， 耶稣说 ： “父啊 ， 天地的主 ， 我赞美你 ， 因为你把这些事向智慧和聪明的人隐藏起来 ， 却向婴孩显明。,
40011025a,JPN,,そのときイエスは声をあげて言われた、「天地の主なる父よ。あなたをほめたたえます。これらの事を知恵のある者や賢い者に隠して、幼な子にあらわしてくださいました。,
40011025b,ENG,have revealed,"Then Jesus prayed : » I thank you , O Father , Lord of heaven and earth . You have hidden these things from the wise and understanding , and have revealed them to children .","present, participle"
40011025b,DEU,,"ZU jener Zeit begann Jesus und sprach : Ich preise dich , Vater , Herr des Himmels und der Erde , dass du dies vor Weisen und Verständigen verborgen und es Unmündigen geoffenbart hast .",
40011025b,CMN,,就在那时候 ， 耶稣说 ： “父啊 ， 天地的主 ， 我赞美你 ， 因为你把这些事向智慧和聪明的人隐藏起来 ， 却向婴孩显明。,
40011025b,JPN,,そのときイエスは声をあげて言われた、「天地の主なる父よ。あなたをほめたたえます。これらの事を知恵のある者や賢い者に隠して、幼な子にあらわしてくださいました。,
40011027,ENG,have been delievered,"» All things have been delivered to me from my Father . Only the Father knows the Son , and only the Son knows the Father . The Son tells others about the Father so that they can know him too .","present, participle"
40011027,DEU,,"Alles ist mir von meinem Vater übergeben worden , und niemand erkennt den Sohn als nur der Vater , und den Vater erkennt niemand als nur der Sohn und wem es der Sohn offenbaren will .",
40011027,CMN,,我父已经把 一 切交给我 ； 除了父没有人认识子 ， 除了子和子所愿意启示的人 ， 没有人认识父。,
40011027,JPN,,すべての事は父からわたしに任せられています。そして、子を知る者は父のほかにはなく、父を知る者は、子と、父をあらわそうとして子が選んだ者とのほかに、だれもありません。,
40012007a,ENG,had known,"» If you had known what this means , ‘ I desire mercy and not sacrifice , ’ ’ you would not have condemned the guiltless .","past, participle"
40012007a,DEU,,"Wenn ihr aber erkannt hättet , was das heisst : "" Barmherzigkeit will ich und nicht Opfer "" , so hättet ihr die Unschuldigen nicht verurteilt .",
40012007a,CMN,,如果你们明白‘我喜爱怜悯 ， 不喜爱祭祀’这句话的意思 ， 就不会把无罪的定罪了。,
40012007a,JPN,,『わたしが好むのは、あわれみであって、いけにえではない』とはどういう意味か知っていたなら、あなたがたは罪のない者をとがめなかったであろう。,
40012007b,ENG,would not have condemned,"» If you had known what this means , ‘ I desire mercy and not sacrifice , ’ ’ you would not have condemned the guiltless .","would, participle"
40012007b,DEU,,"Wenn ihr aber erkannt hättet , was das heisst : "" Barmherzigkeit will ich und nicht Opfer "" , so hättet ihr die Unschuldigen nicht verurteilt .",
40012007b,CMN,,如果你们明白‘我喜爱怜悯 ， 不喜爱祭祀’这句话的意思 ， 就不会把无罪的定罪了。,
40012007b,JPN,,『わたしが好むのは、あわれみであって、いけにえではない』とはどういう意味か知っていたなら、あなたがたは罪のない者をとがめなかったであろう。,
40012018,ENG,have chosen,» Look ! My servant whom I have chosen . I am well pleased with him . I will put my Spirit upon him and he will declare judgment to the nations .,"present, participle"
40012018,DEU,,""" Siehe , mein Knecht , den ich erwählt habe , mein Geliebter , an dem meine Seele Wohlgefallen gefunden hat . Ich will meinen Geist auf ihn legen , und er wird den Heiden das Recht verkündigen .",
40012018,CMN,,“看哪 ！ 我所拣选的仆人 ， 我所爱 ， 心里所喜悦的 ； 我要把我的灵赐给他 ， 他必向万国宣扬公理。,
40012018,JPN,,「見よ、わたしが選んだ僕、わたしの心にかなう、愛する者。わたしは彼にわたしの霊を授け、そして彼は正義を異邦人に宣べ伝えるであろう。,
40012028,ENG,has come,"» But if I cast out demons by God’s Spirit , then the kingdom of God has come to you .","present, participle"
40012028,DEU,,"Wenn ich dagegen durch den Geist Gottes die Dämonen austreibe , so ist ja das Reich Gottes zu euch gekommen .",
40012028,CMN,,我若靠 神的灵赶鬼 ， 神的国就已经临到你们了。,
40012028,JPN,,しかし、わたしが神の霊によって悪霊を追い出しているのなら、神の国はすでにあなたがたのところにきたのである。,
40013051,ENG,have understood,» Have you understood all these things ? « They said to him : » Yes . «,"present, participle"
40013051,DEU,,Habt ihr dies alles verstanden ? Sie sagten zu ihm : Ja .,
40013051,CMN,,“这 一 切你们明白吗？”他们回答 ： “明白。”,
40013051,JPN,,あなたがたは、これらのことが皆わかったか」。彼らは「わかりました」と答えた。,
40013052,ENG,has been made,"And he said to them : » Every scribe journalist writer who has been made a disciple to the kingdom of heaven is like a man that is a householder , who brings out of his treasure things new and old . «","present, participle"
40013052,DEU,,"Da sagte er zu ihnen : Deshalb ist jeder Schriftgelehrte , der für das Reich der Himmel unterrichtet ist , einem Hausherrn gleich , der aus seinem Schatze Neues und Altes hervorholt .",
40013052,CMN,,耶稣说 ： “所以 ， 每 一 个作天国门徒的经学家 ， 就像家主从宝库中拿出新和旧的东西来。”,
40013052,JPN,,そこで、イエスは彼らに言われた、「それだから、天国のことを学んだ学者は、新しいものと古いものとを、その倉から取り出す一家の主人のようなものである」。,
40014004,ENG,had said,For John had said to him : » It is not lawful for you to have her . «,"past, participle"
40014004,DEU,,"Denn Johannes hatte zu ihm gesagt : Es ist dir nicht erlaubt , sie zu haben .",
40014004,CMN,,因为约翰多次告诉他 ： “你占有她是不合理的。”,
40014004,JPN,,すなわち、ヨハネはヘロデに、「その女をめとるのは、よろしくない」と言ったからである。,
40015006,ENG,have invalidated,» You say there is no need for him to give honor to his father . You have invalidated the word of God because of your tradition !,"present, participle"
40015006,DEU,,der braucht seinen Vater und seine Mutter nicht zu ehren ; und so habt ihr das Wort Gottes eurer Überlieferung wegen ungültig gemacht .,
40015006,CMN,,他就可以不孝敬父母了。’你们因为你们的传统 ， 就废弃了 神的话。,
40015006,JPN,,父または母を敬わなくてもよろしい』と言っている。こうしてあなたがたは自分たちの言伝えによって、神の言を無にしている。,
40015013,ENG,has not planted,In answer he replied : » Every plant my Father in heaven has not planted in the earth will be pulled out by the roots .,"present, participle"
40015013,DEU,,"Er aber antwortete und sprach : Jede Pflanze , die nicht mein himmlischer Vater gepflanzt hat , wird ausgerissen werden .",
40015013,CMN,,耶稣说 ： “所有不是我天父栽种的植物 ， 都要连根拔起来。,
40015013,JPN,,イエスは答えて言われた、「わたしの天の父がお植えにならなかったものは、みな抜き取られるであろう。,
40015032,ENG,have remained,"Jesus called his disciples and said : » I feel compassion for the people , because they have remained with me now three days and have nothing to eat . I do not want to send them away hungry , for they might faint on the way . «","present, participle"
40015032,DEU,,"JESUS aber rief seine Jünger zu sich und sprach : Mich jammert das Volk , denn sie verharren schon drei Tage bei mir und haben nichts zu essen ; und ich will sie nicht nüchtern entlassen , damit sie nicht unterwegs erliegen .",
40015032,CMN,,耶稣叫门徒前来 ， 说 ： “我怜悯这 一 群人 ， 因为他们跟我在 一 起已经有三天 ， 也没有什么吃的 ； 我不想叫他们饿着肚子回去 ， 恐怕他们在路上晕倒。”,
40015032,JPN,,イエスは弟子たちを呼び寄せて言われた、「この群衆がかわいそうである。もう三日間もわたしと一緒にいるのに、何も食べるものがない。しかし、彼らを空腹のままで帰らせたくはない。恐らく途中で弱り切ってしまうであろう」。,
40017009,ENG,has risen from the dead,"When they came down from the mountain , Jesus commanded them not to tell anyone what they saw , until the Son of man has risen from the dead .","present, participle"
40017009,DEU,,"Und als sie vom Berge hinabstiegen , gebot ihnen Jesus : Saget niemandem von der Erscheinung , bis der Sohn des Menschen von den Toten auferweckt worden ist !",
40017009,CMN,,他们下山的时候 ， 耶稣吩咐他们 ： “人子从死人中复活以前 ， 你们不要把所看见的异象告诉人。”,
40017009,JPN,,一同が山を下って来るとき、イエスは「人の子が死人の中からよみがえるまでは、いま見たことをだれにも話してはならない」と、彼らに命じられた。,
40017012,ENG,has come,» I tell you that Elijah has come . They did not know him and treated him badly as they pleased . They will do the same with the Son of man . «,"present, participle"
40017012,DEU,,"ich sage euch aber : Elia ist schon gekommen , und sie haben ihn nicht erkannt , sondern mit ihm getan , was sie wollten . So wird auch der Sohn des Menschen durch sie leiden müssen .",
40017012,CMN,,但我告诉你们 ， 以利亚已经来了 ， 可是人们却不认识他 ， 反而任意待他。照样 ， 人子也要这样被他们苦待。”,
40017012,JPN,,しかし、あなたがたに言っておく。エリヤはすでにきたのだ。しかし人々は彼を認めず、自分かってに彼をあしらった。人の子もまた、そのように彼らから苦しみを受けることになろう」。,
40018012,ENG,has gone wandering,"» What do you think ? A man has a hundred sheep , and one of them has gone wandering away . Will he leave the ninety-nine and go in search of the wandering one ?","present, participle, progressive"
40018012,DEU,,"WAS meint ihr ? Wenn ein Mensch hundert Schafe hat , und es verirrt sich eins von ihnen , wird er nicht die 99 auf den Bergen lassen , und geht er nicht hin und sucht das verirrte ?",
40018012,CMN,,你们认为怎样？有 一 个人 ， 他有 一 百只羊 ， 如果失了 一 只 ， 他会不把九十九只留在山上 ， 去寻找那迷失的吗？,
40018012,JPN,,あなたがたはどう思うか。ある人に百匹の羊があり、その中の一匹が迷い出たとすれば、九十九匹を山に残しておいて、その迷い出ている羊を捜しに出かけないであろうか。,
40018013a,ENG,would have (been filled with joy),"» When he finds it , I tell you he will be filled with more joy than he would have if he had stayed with the ninety-nine .","would, participle"
40018013a,DEU,,"Und wenn es sich begibt , dass er es findet , wahrlich , ich sage euch : Er freut sich über dasselbe mehr als über die 99 , die nicht verirrt waren .",
40018013a,CMN,,我实在告诉你们 ， 他若找到了 ， 就为这 一 只羊欢喜 ， 胜过为那九十九只没有迷失的。,
40018013a,JPN,,もしそれを見つけたなら、よく聞きなさい、迷わないでいる九十九匹のためよりも、むしろその一匹のために喜ぶであろう。,
40018013b,ENG,had stayed,"» When he finds it , I tell you he will be filled with more joy than he would have if he had stayed with the ninety-nine .","past, participle"
40018013b,DEU,,"Und wenn es sich begibt , dass er es findet , wahrlich , ich sage euch : Er freut sich über dasselbe mehr als über die 99 , die nicht verirrt waren .",
40018013b,CMN,,我实在告诉你们 ， 他若找到了 ， 就为这 一 只羊欢喜 ， 胜过为那九十九只没有迷失的。,
40018013b,JPN,,もしそれを見つけたなら、よく聞きなさい、迷わないでいる九十九匹のためよりも、むしろその一匹のために喜ぶであろう。,
40018015,ENG,have gained back,"» If your brother does wrong to you , go to him in private . Clearly explain his error between you and him . If he listens to you , you have gained your brother back .","present, participle"
40018015,DEU,,"WENN aber dein Bruder sündigt , so geh hin und weise ihn zurecht unter vier Augen ! Hört er auf dich , so hast du deinen Bruder gewonnen .",
40018015,CMN,,“如果你的弟兄犯了罪（“犯了罪”有些抄本作“得罪你”） ， 你趁着和他单独在 一 起的时候 ， 要去指出他的过失来。如果他肯听 ， 你就得着你的弟兄。,
40018015,JPN,,もしあなたの兄弟が罪を犯すなら、行って、彼とふたりだけの所で忠告しなさい。もし聞いてくれたら、あなたの兄弟を得たことになる。,
40018031,ENG,had been done,"» When the other servants saw what happened , they were very sad . They told their lord what had been done .","past, participle"
40018031,DEU,,"Als nun seine Mitknechte sahen , was geschehen war , wurden sie sehr betrübt und kamen und berichteten ihrem Herrn alles , was geschehen war .",
40018031,CMN,,其他的仆人看见这事 ， 非常难过 ， 就去向主人报告这 一 切事情。,
40018031,JPN,,その人の仲間たちは、この様子を見て、非常に心をいため、行ってそのことをのこらず主人に話した。,
40019006,ENG,has joined together,"» So they are no longer two , but one flesh . What God has joined together , let no man pull apart separate ! «","present, participle"
40019006,DEU,,"Somit sind sie nicht mehr zwei , sondern ( sie sind ) ein Leib . Was nun Gott zusammengefügt hat , soll der Mensch nicht scheiden .",
40019006,CMN,,这样 ， 他们不再是两个人 ， 而是 一 体的了。所以 神所配合的 ， 人不可分开。”,
40019006,JPN,,彼らはもはや、ふたりではなく一体である。だから、神が合わせられたものを、人は離してはならない」。,
40019011,ENG,has given,"He said : » This does not apply to everyone , only to those God has given it to .","present, participle"
40019011,DEU,,"Er aber sprach zu ihnen : Nicht alle fassen dieses Wort , sondern ( nur ) die , denen es gegeben ist .",
40019011,CMN,,耶稣对他们说 ： “这话不是每个人都能领受的 ， 只有赐给谁 ， 谁才能领受。,
40019011,JPN,,するとイエスは彼らに言われた、「その言葉を受けいれることができるのはすべての人ではなく、ただそれを授けられている人々だけである。,
40019012,ENG,have made (themselves without sex),"» For there are men who , from birth , were without sex . There are some who were made that way by men . There are others who have made themselves so for the kingdom of heaven . He who is able to accept this let him accept it . «","present, participle"
40019012,DEU,,"Denn es gibt Verschnittene , die von Mutterleib so geboren sind , und es gibt Verschnittene , die von den Menschen verschnitten worden sind , und es gibt Verschnittene , die sich selbst verschnitten haben um des Reiches der Himmel willen . Wer es fassen kann , fasse es !",
40019012,CMN,,有些人是生来就不能结婚的 ， 有些人不能结婚是因为人使他们这样 ， 也有些人是为了天国的缘故自愿这样的。谁能领受就领受吧 ！ ”,
40019012,JPN,,というのは、母の胎内から独身者に生れついているものがあり、また他から独身者にされたものもあり、また天国のために、みずから進んで独身者となったものもある。この言葉を受けられる者は、受けいれるがよい」。,
40019020,ENG,have done (all these things),The man said to him : » I have done all these things ; what more is there ? «,"present, participle"
40019020,DEU,,Der Jüngling sagte zu ihm : Dies alles habe ich gehalten ; was fehlt mir noch ?,
