TokenID,FullText,Target,annotation,confidence,explanation
40009008,"But when the people saw it , they marveled , and glorified God who had given such authority to men .",had given,0,high,"The verb 'had given' entails a change of possession, and the resulting state (men having the authority) remains in effect at the reference time."
40009016,» Why patch an old garment with cloth that has not been shrunk ? The patch shrinks and pulls away from the old cloth leaving a big hole .,has not been shrunk,1,high,"The gram is a negative Perfect ('has not been shrunk'), which functions as a claim about the absence of the event in the subject's history."
40009022,"Jesus turned to see her and said : » Daughter , take courage ; your faith has made you well . « The woman was healed at that time .",has made you well,0,high,"The verb entails a change of state (being well) that remains in effect at the reference time, so DtExp is not instantiated."
40009033,"When the demon was cast out , the dumb man spoke . The crowd marveled , saying : » We have never seen anything like this in Israel ! «",have never seen,1,high,"The gram 'have never seen' is a negative Perfect, which functions as a claim about the absence of the event in the subject's history."
40010023,"» When they persecute you in this city , flee to the next . I tell you ; before you have gone through all the cities of Israel the Son of man will come .",have gone through,0,high,"The verb 'gone through' entails a transition into a new physical location, and the subject remains at that location at the reference time."
40011012a,"» From the days of John the Baptist until now , the kingdom of heaven has been man’s goal , and men of violence have attempted to take it by force .",has been,0,high,"The verb entails a change of state or location, and that resulting state holds at the reference time."
40011012b,"» From the days of John the Baptist until now , the kingdom of heaven has been man’s goal , and men of violence have attempted to take it by force .",have attempted,0,high,"The verb 'attempted' entails a change of state or location, and that resulting state holds at the reference time."
40011021a,"» Woe to you , Chorazin ! Woe to you , Bethsaida ! If the mighty works had been done in Tyre and Sidon that were done in you , they would have repented long ago in sackcloth and ashes .",had been done,0,high,"The verb entails a change of state, and the resulting state holds at the reference time, thus it is not experiential."
40011021b,"» Woe to you , Chorazin ! Woe to you , Bethsaida ! If the mighty works had been done in Tyre and Sidon that were done in you , they would have repented long ago in sackcloth and ashes .",would have repented,0,high,"The verb entails a change of state, and the resulting state would hold at the reference time, thus it is not experiential."
40011023a,"» Will you , Capernaum , be exalted into heaven ? You will go down into the grave . If the mighty works had been done in Sodom , which were done in you , it would have remained until this day .",had been done,0,high,"The verb entails a change of state or location, and that resulting state holds at the reference time."
40011023b,"» Will you , Capernaum , be exalted into heaven ? You will go down into the grave . If the mighty works had been done in Sodom , which were done in you , it would have remained until this day .",would have remained,0,high,"The verb entails a transition into a new physical location, and the subject remains at that location at the reference time."
40011025a,"Then Jesus prayed : » I thank you , O Father , Lord of heaven and earth . You have hidden these things from the wise and understanding , and have revealed them to children .",have hidden,0,high,"The verb 'hidden' entails a change of state or location, and that resulting state holds at the reference time, thus it is not experiential."
40011025b,"Then Jesus prayed : » I thank you , O Father , Lord of heaven and earth . You have hidden these things from the wise and understanding , and have revealed them to children .",have revealed,0,high,"The verb 'reveal' entails a change of possession of information that remains in effect at the reference time, thus it is not experiential."
40011027,"» All things have been delivered to me from my Father . Only the Father knows the Son , and only the Son knows the Father . The Son tells others about the Father so that they can know him too .",have been delievered,0,high,"The verb 'delivered' entails a change of possession, and the resulting state (the speaker possessing all things) holds at the reference time."
40012007a,"» If you had known what this means , ‘ I desire mercy and not sacrifice , ’ ’ you would not have condemned the guiltless .",had known,1,high,"The verb 'had known' denotes perception where the focus is on the occurrence of an experience at least once, rather than on a resulting state or transfer, thus instantiating DtExp."
40012007b,"» If you had known what this means , ‘ I desire mercy and not sacrifice , ’ ’ you would not have condemned the guiltless .",would not have condemned,1,high,"The gram is a negative Perfect ('would not have condemned'), which functions as a claim about the absence of the event in the subject's history."
40012018,» Look ! My servant whom I have chosen . I am well pleased with him . I will put my Spirit upon him and he will declare judgment to the nations .,have chosen,0,high,"The verb 'have chosen' entails a change of social/legal status that remains in effect at the reference time, thus the annotation is 0."
40012028,"» But if I cast out demons by God’s Spirit , then the kingdom of God has come to you .",has come,0,high,"The verb entails a change of state or location, and that resulting state holds at the reference time."
40013051,» Have you understood all these things ? « They said to him : » Yes . «,have understood,1,high,"The verb 'understood' denotes perception or communication where the focus is on the occurrence of an experience at least once, rather than on a resulting state or transfer, thus satisfying the condition to set the annotation to 1."
40013052,"And he said to them : » Every scribe journalist writer who has been made a disciple to the kingdom of heaven is like a man that is a householder , who brings out of his treasure things new and old . «",has been made,0,high,The verb entails a change of social/legal status that remains in effect at the reference time.
40014004,For John had said to him : » It is not lawful for you to have her . «,had said,1,high,"The verb 'had said' denotes communication where the focus is on the occurrence of an experience at least once, rather than on a resulting state or transfer."
40015006,» You say there is no need for him to give honor to his father . You have invalidated the word of God because of your tradition !,have invalidated,0,high,"The verb 'invalidate' entails a change of social/legal status that remains in effect at the reference time, thus it is not experiential."
40015013,In answer he replied : » Every plant my Father in heaven has not planted in the earth will be pulled out by the roots .,has not planted,1,high,"The gram is a negative Perfect ('has not planted'), which functions as a claim about the absence of the event in the subject's history."
40015032,"Jesus called his disciples and said : » I feel compassion for the people , because they have remained with me now three days and have nothing to eat . I do not want to send them away hungry , for they might faint on the way . «",have remained,0,high,"The verb 'have remained' entails a transition into a new physical location (being with Jesus) and the subject remains at that location at the reference time, thus it is not experiential."
40017009,"When they came down from the mountain , Jesus commanded them not to tell anyone what they saw , until the Son of man has risen from the dead .",has risen from the dead,0,high,"The verb entails a change of state, and that resulting state holds at the reference time."
40017012,» I tell you that Elijah has come . They did not know him and treated him badly as they pleased . They will do the same with the Son of man . «,has come,0,high,"The verb entails a change of state or location, and that resulting state holds at the reference time."
40018012,"» What do you think ? A man has a hundred sheep , and one of them has gone wandering away . Will he leave the ninety-nine and go in search of the wandering one ?",has gone wandering,0,high,"The verb entails a transition into a new physical location, and the subject remains at that location at the reference time."
40018013a,"» When he finds it , I tell you he will be filled with more joy than he would have if he had stayed with the ninety-nine .",would have (been filled with joy),0,high,"The verb entails a change of state (filled with joy), and that resulting state would hold at the reference time, so the gram is not experiential."
40018013b,"» When he finds it , I tell you he will be filled with more joy than he would have if he had stayed with the ninety-nine .",had stayed,0,high,"The verb 'stayed' entails a transition into a new physical location, and the subject remains at that location at the reference time, thus the feature DtExp is not instantiated."
40018015,"» If your brother does wrong to you , go to him in private . Clearly explain his error between you and him . If he listens to you , you have gained your brother back .",have gained back,0,high,The verb entails a change of possession or social/legal status that remains in effect at the reference time.
40018031,"» When the other servants saw what happened , they were very sad . They told their lord what had been done .",had been done,0,high,"The verb entails a change of state, and the resulting state holds at the reference time."
40019006,"» So they are no longer two , but one flesh . What God has joined together , let no man pull apart separate ! «",has joined together,0,high,The verb entails a change of social/legal status that remains in effect at the reference time.
40019011,"He said : » This does not apply to everyone , only to those God has given it to .",has given,0,high,"The verb 'has given' entails a change of possession, and the resulting state of possession remains in effect at the reference time, thus it is not experiential."
40019012,"» For there are men who , from birth , were without sex . There are some who were made that way by men . There are others who have made themselves so for the kingdom of heaven . He who is able to accept this let him accept it . «",have made (themselves without sex),0,high,The verb entails a change of social/legal status that remains in effect at the reference time.
40019020,The man said to him : » I have done all these things ; what more is there ? «,have done (all these things),1,high,"The gram 'have done' refers to a bounded activity where the focus is on having undergone the experience, not on a persisting result, indicating an entry in the subject's life history."
40019027,"Then Peter said : » See , we have given up everything to follow you . What then will we have ? «",have given up,0,high,"The verb 'give up' entails a change of possession or social/legal status that remains in effect at the reference time, so the annotation is 0."
